timestamp,open,high,low,close,volume,volume_quote
2025-10-05 00:00:00,0.8396,0.8426,0.8351,0.8355,5305129.48,4452783.85
2025-10-05 01:00:00,0.8355,0.8415,0.8354,0.8407,3035044.52,2545958.37
2025-10-05 02:00:00,0.8407,0.8601,0.8395,0.8596,17007231.89,14464841.22
2025-10-05 03:00:00,0.8596,0.8633,0.8541,0.8549,12748495.81,10948232.92
2025-10-05 04:00:00,0.8549,0.8714,0.8548,0.8674,21464345.76,18554703.62
2025-10-05 05:00:00,0.8674,0.8743,0.8672,0.8727,18029816.11,15698474.86
2025-10-05 06:00:00,0.8727,0.8753,0.8666,0.8674,9696766.44,8447860.99
2025-10-05 07:00:00,0.8674,0.8781,0.8671,0.878,13971460.5,12216462.15
2025-10-05 08:00:00,0.878,0.8826,0.8757,0.8776,13251057.74,11650048.92
2025-10-05 09:00:00,0.8776,0.879,0.8644,0.8663,25085819.83,21831472.71
2025-10-05 10:00:00,0.8663,0.8675,0.8599,0.8628,12810341.0,11054885.08
2025-10-05 11:00:00,0.8628,0.8642,0.8578,0.8632,9861909.83,8493350.94
2025-10-05 12:00:00,0.8632,0.8632,0.8556,0.8563,7399077.62,6350114.66
2025-10-05 13:00:00,0.8563,0.8601,0.8561,0.8579,3628483.93,3113512.41
2025-10-05 14:00:00,0.8579,0.8611,0.8512,0.8543,6535160.89,5588750.04
2025-10-05 15:00:00,0.8543,0.8578,0.8516,0.8537,7389492.74,6309486.12
2025-10-05 16:00:00,0.8537,0.8565,0.846,0.8531,8591773.94,7309791.9
2025-10-05 17:00:00,0.8531,0.8549,0.8426,0.8441,5165408.21,4384063.32
2025-10-05 18:00:00,0.8441,0.8461,0.8398,0.8432,8010439.58,6748630.97
2025-10-05 19:00:00,0.8432,0.8433,0.8273,0.8304,20211822.77,16829339.61
2025-10-05 20:00:00,0.8304,0.8377,0.828,0.8348,6696415.15,5581207.94
2025-10-05 21:00:00,0.8348,0.8371,0.8327,0.8367,5764554.73,4813664.2
2025-10-05 22:00:00,0.8367,0.8403,0.8331,0.8369,7995410.94,6688841.93
2025-10-05 23:00:00,0.8369,0.8403,0.8361,0.8371,6982478.49,5852112.86
2025-10-06 00:00:00,0.8371,0.845,0.8318,0.8354,16332530.74,13695573.08
2025-10-06 01:00:00,0.8354,0.8454,0.8326,0.8399,11041864.12,9281461.25
2025-10-06 02:00:00,0.8399,0.8447,0.8348,0.8403,9534889.59,8005243.59
2025-10-06 03:00:00,0.8403,0.8422,0.8385,0.8399,3769909.56,3168077.0
2025-10-06 04:00:00,0.8399,0.8429,0.8382,0.8388,5348912.64,4491947.67
2025-10-06 05:00:00,0.8388,0.8427,0.8362,0.8424,4679372.09,3926685.76
2025-10-06 06:00:00,0.8424,0.8499,0.8424,0.8459,9172562.73,7760013.82
2025-10-06 07:00:00,0.8459,0.8495,0.8396,0.8428,8725510.96,7367601.18
2025-10-06 08:00:00,0.8428,0.8524,0.8428,0.8518,8867840.3,7520832.47
2025-10-06 09:00:00,0.8518,0.8533,0.8486,0.8505,7197496.6,6124337.01
2025-10-06 10:00:00,0.8505,0.8529,0.8485,0.8514,7404901.66,6299482.44
2025-10-06 11:00:00,0.8514,0.8549,0.8486,0.8509,6066703.88,5164462.33
2025-10-06 12:00:00,0.8509,0.8559,0.8509,0.8545,8467051.54,7230419.1
2025-10-06 13:00:00,0.8545,0.8652,0.8542,0.8648,16966567.21,14564075.32
2025-10-06 14:00:00,0.8648,0.8703,0.861,0.8625,21906489.3,18971742.64
2025-10-06 15:00:00,0.8625,0.8805,0.8624,0.8732,30646025.87,26794551.57
2025-10-06 16:00:00,0.8732,0.8776,0.8696,0.8734,13639926.36,11908896.06
2025-10-06 17:00:00,0.8734,0.8796,0.8715,0.8758,14365138.23,12586879.99
