timestamp,open,high,low,close,volume,volume_quote
2025-10-07 16:00:00,578.26,579.36,575.28,576.73,4414.46,2547592.62
2025-10-07 17:00:00,576.73,577.93,575.46,576.58,1893.91,1092661.46
2025-10-07 18:00:00,576.58,577.67,574.2,574.3,1946.03,1120899.52
2025-10-07 19:00:00,574.3,579.84,574.3,578.2,1441.2,832184.54
2025-10-07 20:00:00,578.2,579.63,577.44,578.05,1851.96,1071808.36
2025-10-07 21:00:00,578.05,579.55,577.26,577.97,1019.28,589801.96
2025-10-07 22:00:00,577.97,579.83,577.04,579.31,512.24,296422.55
2025-10-07 23:00:00,579.31,579.31,575.5,576.32,728.37,420229.18
2025-10-08 00:00:00,576.32,581.87,576.25,580.59,1095.97,634851.59
2025-10-08 01:00:00,580.59,581.6,579.66,579.91,840.18,487638.52
2025-10-08 02:00:00,579.91,582.02,578.85,580.37,1207.04,700671.91
2025-10-08 03:00:00,580.37,580.92,576.33,577.99,1739.21,1006869.18
2025-10-08 04:00:00,577.99,579.84,576.09,578.81,1014.82,586919.29
2025-10-08 05:00:00,578.81,578.81,573.18,574.91,927.88,534001.96
2025-10-08 06:00:00,574.91,577.59,573.71,576.84,842.27,485008.54
2025-10-08 07:00:00,576.84,578.61,575.53,578.12,1443.0,832219.46
2025-10-08 08:00:00,578.12,580.63,577.67,578.61,1091.2,631638.24
2025-10-08 09:00:00,578.61,579.26,577.79,578.25,948.52,548752.53
2025-10-08 10:00:00,578.25,580.63,578.25,579.52,1732.06,1004194.91
2025-10-08 11:00:00,579.52,580.28,577.59,577.87,1266.78,733003.82
2025-10-08 12:00:00,577.87,578.75,576.07,578.71,1045.13,603590.89
2025-10-08 13:00:00,578.71,580.67,576.14,580.67,1142.33,660550.49
2025-10-08 14:00:00,580.67,583.7,577.75,578.19,1800.61,1046228.13
2025-10-08 15:00:00,578.19,580.94,577.56,577.58,864.11,500561.4
2025-10-08 16:00:00,577.58,581.98,577.14,581.2,1122.6,650751.78
2025-10-08 17:00:00,581.2,586.65,581.19,585.96,1505.48,880294.94
2025-10-08 18:00:00,585.96,587.94,585.55,586.63,1694.91,994431.51
2025-10-08 19:00:00,586.63,587.65,585.48,586.92,752.15,441243.53
2025-10-08 20:00:00,586.92,587.4,583.61,583.77,430.19,252129.24
2025-10-08 21:00:00,583.77,584.26,582.55,583.76,790.36,461031.17
2025-10-08 22:00:00,583.76,584.78,582.98,582.98,554.34,323710.01
2025-10-08 23:00:00,582.98,583.98,581.56,583.22,608.7,354823.03
2025-10-09 00:00:00,583.22,583.69,581.71,582.45,600.42,349795.89
